Postcode,1P_fraud,3P_fraud,Population
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 1,3,10,6069
AL1 2,0,6,6656
AL1 2,0,6,6656
AL1 2,0,6,6656
AL1 2,0,6,6656
AL1 2,0,6,6656
AL1 2,0,6,6656
AL1 2,0,6,6656
AL1 2,0,6,6656
